quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
35,06/2017,09/2017,unweighted,13362.922100000005,13554.856000000009,0.014260995255360953,5-15
35,06/2017,09/2017,unweighted,2017.443400000002,2243.8923999999975,0.10638097017617199,0-5
36,09/2017,12/2017,unweighted,345026.6646700004,370145.4098599999,0.07027422511248815,100+
36,09/2017,12/2017,unweighted,37804.66260000006,38949.56701000001,0.029835211470270906,60-100
36,09/2017,12/2017,unweighted,48823.45760000005,49830.21939999999,0.02041072936374455,30-60
36,09/2017,12/2017,unweighted,28612.330099999992,29022.28230000001,0.014226142828292154,15-30
36,09/2017,12/2017,unweighted,13018.82100000002,12856.499399999986,-0.012546606328953658,5-15
36,09/2017,12/2017,unweighted,2011.6206999999993,2085.4496400000016,0.036043771098004385,0-5
37,12/2017,03/2018,unweighted,374408.52486999996,375823.58784999966,0.0037723382779795145,100+
37,12/2017,03/2018,unweighted,39799.71700000001,38957.75330000001,-0.02138199143859154,60-100
37,12/2017,03/2018,unweighted,48673.594799999984,47184.043299999976,-0.031080912055809762,30-60
37,12/2017,03/2018,unweighted,28081.70240000002,27202.1961,-0.03182049508718343,15-30
37,12/2017,03/2018,unweighted,12940.638199999992,12500.361499999997,-0.034615043904661746,5-15
37,12/2017,03/2018,unweighted,2019.5195400000018,2094.049299999999,0.036240023991885195,0-5
38,03/2018,06/2018,unweighted,376943.1678499997,361092.89003999974,-0.042959189312110624,100+
38,03/2018,06/2018,unweighted,38068.849100000014,39027.65509999999,0.024874161177303122,60-100
38,03/2018,06/2018,unweighted,47639.21099999999,48672.561200000026,0.02145926361656514,30-60
38,03/2018,06/2018,unweighted,27422.57700000001,28393.072600000065,0.03477854066539088,15-30
38,03/2018,06/2018,unweighted,13293.336999999985,13601.247000000007,0.022898547462128604,5-15
38,03/2018,06/2018,unweighted,2118.1754999999994,2296.182779999999,0.08069297836649003,0-5
39,06/2018,09/2018,unweighted,364175.3800499997,405592.39424999984,0.10771313532589666,100+
39,06/2018,09/2018,unweighted,41290.44060000003,42691.08567999999,0.033359121457836594,60-100
39,06/2018,09/2018,unweighted,48889.54950000002,49332.42420000006,0.00901789456302815,30-60
39,06/2018,09/2018,unweighted,27463.89240000003,27297.844100000013,-0.006064409915021329,15-30
39,06/2018,09/2018,unweighted,13404.720300000006,13290.55290000001,-0.008553431552899227,5-15
39,06/2018,09/2018,unweighted,1999.6003799999994,2014.4783000000014,0.007412903092282264,0-5
40,09/2018,12/2018,unweighted,410255.27423999977,381617.4401900001,-0.07236094471466359,100+
40,09/2018,12/2018,unweighted,42785.209589999984,34682.12779999996,-0.20996796725929912,60-100
